topic_id,topic_name,keywords,paper_count
0,0_students_learning_english_writing,"students, learning, english, writing, language",268
1,1_adsorption_nanoparticles_surface_reaction,"adsorption, nanoparticles, surface, reaction, removal",153
2,2_performance_users_multiple_wireless,"performance, users, multiple, wireless, probability",140
3,3_compounds_activity_antioxidant_extract,"compounds, activity, antioxidant, extract, inhibition",123
4,4_solution_problem_fractional_equation,"solution, problem, fractional, equation, mild",93
5,5_cultural_heritage_urban_city,"cultural, heritage, urban, city, development",110
6,6_monolayers_mmlmrow_monolayer_electronic,"monolayers, mmlmrow, monolayer, electronic, janus",112
7,7_solar_flow_air_cfd,"solar, flow, air, cfd, heat",71
8,8_power_algorithm_pso_problem,"power, algorithm, pso, problem, optimization",71
9,9_treatment_patients_mm_patient,"treatment, patients, mm, patient, smile",64
10,10_water_fish_pollution_river,"water, fish, pollution, river, plastic",58
11,11_decay_mass_masses_rates,"decay, mass, masses, rates, gauge",51
12,12_rock_sand_models_soil,"rock, sand, models, soil, strength",52
13,13_intention_trust_brand_consumers,"intention, trust, brand, consumers, perceived",54
14,14_air_emission_coastal_dust,"air, emission, coastal, dust, pollution",52
15,15_models_machine_model_water,"models, machine, model, water, learning",65
16,16_dataset_graph_classification_detection,"dataset, graph, classification, detection, model",60
17,17_fuzzy_selection_mcdm_criteria,"fuzzy, selection, mcdm, criteria, decision",44
18,18_ng_ca_nh_cc,"ng, ca, nh, cc, cu",43
19,19_emissions_energy_environmental_economic,"emissions, energy, environmental, economic, co2",47
20,20_expression_immune_cells_tumor,"expression, immune, cells, tumor, cell",49
21,21_species_vietnam_phylogenetic_new,"species, vietnam, phylogenetic, new, genus",38
22,22_phosphor_color_wleds_cri,"phosphor, color, wleds, cri, red",42
23,23_pressure_ventricular_left_rats,"pressure, ventricular, left, rats, renal",37
24,24_financial_earnings_market_firms,"financial, earnings, market, firms, listed",45
25,25_strategic_entrepreneurs_business_public,"strategic, entrepreneurs, business, public, capabilities",51
26,26_vibration_plates_numerical_free,"vibration, plates, numerical, free, thickness",50
27,27_tourism_travel_development_tourists,"tourism, travel, development, tourists, destination",48
28,28_care_health_trauma_treatment,"care, health, trauma, treatment, symptoms",43
29,29_production_sigma_machining_manufacturing,"production, sigma, machining, manufacturing, 40",56
30,30_banks_bank_commercial_fintech,"banks, bank, commercial, fintech, financial",33
31,31_covid19_health_prevalence_drug,"covid19, health, prevalence, drug, border",46
32,32_water_basin_sediment_river,"water, basin, sediment, river, drought",30
33,33_beams_concrete_crack_toughness,"beams, concrete, crack, toughness, reinforced",40
34,34_resistance_infection_strains_genes,"resistance, infection, strains, genes, tilapia",25
35,35_soil_strains_sp_fermentation,"soil, strains, sp, fermentation, bacteria",48
36,36_batteries_battery_anode_materials,"batteries, battery, anode, materials, conductivity",24
37,37_clusters_boron_structure_atoms,"clusters, boron, structure, atoms, calculations",50
38,38_hydrophobic_cmc_values_surfactants,"hydrophobic, cmc, values, surfactants, micelle",31
39,39_phosphor_phosphors_white_emission,"phosphor, phosphors, white, emission, nm",28
40,40_drug_delivery_nanoparticles_particles,"drug, delivery, nanoparticles, particles, release",33
41,41_ocr_character_recognition_question,"ocr, character, recognition, question, bert",22
42,42_green_csr_innovation_construction,"green, csr, innovation, construction, leadership",39
43,43_spaces_operators_sufficient_central,"spaces, operators, sufficient, central, mmath",17
44,44_trade_economic_growth_fdi,"trade, economic, growth, fdi, openness",31
45,45_employee_job_engagement_staff,"employee, job, engagement, staff, lecturers",32
46,46_clustering_algorithm_clusters_fuzzy,"clustering, algorithm, clusters, fuzzy, series",22
